depth_m,signal_amplitude_mv,doppler_freq_hz,dielectric_permittivity,moisture_pct,density_kg_m3
0.0,98.2,0.0,6.5,28.0,1750
0.4,45.4,0.0,6.5,28.0,1750
0.8,12.1,0.01,6.5,28.0,1750
1.2,82.5,0.32,7.8,28.0,1750
1.6,18.4,0.02,6.5,28.0,1750
2.0,10.2,0.0,6.5,28.0,1750
2.4,14.6,0.01,6.5,28.0,1750
2.8,68.0,0.24,5.4,28.0,1750
3.2,9.5,0.01,6.5,28.0,1750
3.6,6.2,0.0,6.5,28.0,1750
4.0,5.1,0.0,6.5,28.0,1750
4.4,4.2,0.0,6.5,28.0,1750
4.8,3.5,0.0,6.5,28.0,1750
5.2,2.8,0.0,6.5,28.0,1750
5.6,2.1,0.0,6.5,28.0,1750
6.0,1.5,0.0,6.5,28.0,1750
